national_olympic_team,national_iso3,national_noc,participated_olympic_game,year,season,host_country,host_iso3,is_host_country_team,total_number_of_athletes,number_of_male_athletes,number_of_female_athletes,proportion_male_athletes,proportion_female_athletes,score_total,score_female,score_male,score_total_raw,score_female_raw,score_male_raw,game_total_score_raw
Egypt,EGY,EGY,2000 Summer Olympics,2000,Summer,Australia,AUS,False,89,74,15,0.8314606741573034,0.16853932584269662,0.004895017724848247,0.0010885916806810695,0.0038064260441671776,7.994047619047619,1.7777777777777777,6.216269841269841,1633.0988095238095
Eritrea,ERI,ERI,2000 Summer Olympics,2000,Summer,Australia,AUS,False,3,2,1,0.6666666666666666,0.3333333333333333,0.00020411094012770054,6.803698004256685e-05,0.0001360739600851337,0.3333333333333333,0.1111111111111111,0.2222222222222222,1633.0988095238095
Spain,ESP,ESP,2000 Summer Olympics,2000,Summer,Australia,AUS,False,327,222,105,0.6788990825688074,0.3211009174311927,0.023363655957403022,0.009085852706255929,0.014277803251147093,38.15515873015873,14.838095238095239,23.317063492063493,1633.0988095238095
Estonia,EST,EST,2000 Summer Olympics,2000,Summer,Australia,AUS,False,33,31,2,0.9393939393939394,0.06060606060606061,0.0033848397571177007,0.00020411094012770054,0.0031807288169900007,5.527777777777778,0.3333333333333333,5.194444444444445,1633.0988095238095
Ethiopia,ETH,ETH,2000 Summer Olympics,2000,Summer,Australia,AUS,False,27,16,11,0.5925925925925926,0.4074074074074074,0.005105203395336891,0.0019584930683681744,0.0031467103269687173,8.337301587301587,3.1984126984126986,5.138888888888889,1633.0988095238095
Finland,FIN,FIN,2000 Summer Olympics,2000,Summer,Australia,AUS,False,70,40,30,0.5714285714285714,0.42857142857142855,0.0070350237364014126,0.0024306211120207004,0.004604402624380712,11.488888888888889,3.969444444444444,7.519444444444444,1633.0988095238095
Fiji,FJI,FIJ,2000 Summer Olympics,2000,Summer,Australia,AUS,False,7,4,3,0.5714285714285714,0.42857142857142855,0.0006123328203831017,0.0002721479201702674,0.0003401849002128343,1.0,0.4444444444444444,0.5555555555555556,1633.0988095238095
France,FRA,FRA,2000 Summer Olympics,2000,Summer,Australia,AUS,False,339,212,127,0.6253687315634219,0.3746312684365782,0.03706022900761504,0.012183843695729878,0.02487638531188516,60.52301587301587,19.897420634920636,40.62559523809524,1633.0988095238095
Federated States of Micronesia,FSM,FSM,2000 Summer Olympics,2000,Summer,Australia,AUS,False,5,3,2,0.6,0.4,0.0003401849002128343,0.0001360739600851337,0.00020411094012770054,0.5555555555555556,0.2222222222222222,0.3333333333333333,1633.0988095238095
Gabon,GAB,GAB,2000 Summer Olympics,2000,Summer,Australia,AUS,False,5,3,2,0.6,0.4,0.0004082218802554011,0.0001360739600851337,0.0002721479201702674,0.6666666666666666,0.2222222222222222,0.4444444444444444,1633.0988095238095
The Gambia,GAM,GAM,2000 Summer Olympics,2000,Summer,Australia,AUS,False,2,1,1,0.5,0.5,0.0001360739600851337,6.803698004256685e-05,6.803698004256685e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1633.0988095238095
Great Britain,GBR,GBR,2000 Summer Olympics,2000,Summer,Australia,AUS,False,311,181,130,0.5819935691318328,0.4180064308681672,0.03111671282246795,0.012288146816027277,0.018828566006440672,50.81666666666666,20.067757936507935,30.74890873015873,1633.0988095238095
Guinea Bissau,GBS,GBS,2000 Summer Olympics,2000,Summer,Australia,AUS,False,3,2,1,0.6666666666666666,0.3333333333333333,0.00020411094012770054,6.803698004256685e-05,0.0001360739600851337,0.3333333333333333,0.1111111111111111,0.2222222222222222,1633.0988095238095
Georgia,GEO,GEO,2000 Summer Olympics,2000,Summer,Australia,AUS,False,36,27,9,0.75,0.25,0.0040683684173310605,0.0008358828976658214,0.0032324855196652386,6.644047619047619,1.3650793650793651,5.278968253968253,1633.0988095238095
Ghana,GHA,GHA,2000 Summer Olympics,2000,Summer,Australia,AUS,False,22,16,6,0.7272727272727273,0.2727272727272727,0.0012246656407662033,0.0003401849002128343,0.000884480740553369,2.0,0.5555555555555556,1.4444444444444444,1633.0988095238095
Guinea,GIN,GUI,2000 Summer Olympics,2000,Summer,Australia,AUS,False,6,3,3,0.5,0.5,0.0004082218802554011,0.00020411094012770054,0.00020411094012770054,0.6666666666666666,0.3333333333333333,0.3333333333333333,1633.0988095238095
Equatorial Guinea,GNQ,GEQ,2000 Summer Olympics,2000,Summer,Australia,AUS,False,4,2,2,0.5,0.5,0.0002721479201702674,0.0001360739600851337,0.0001360739600851337,0.4444444444444444,0.2222222222222222,0.2222222222222222,1633.0988095238095
